accident_date,accident_time,expw_step,weather_state,injur_man,injur_femel,dead_man,dead_femel,cause
2022-07-31,02:02:02,ศรีรัช,ปกติ,0,0,0,0,หลับใน
2022-07-31,13:19:19,ศรีรัช,ปกติ,0,0,0,0,ละสายตาจากการขับขี่
2022-07-31,20:32:32,ศรีรัช,ฝนตก,0,0,0,0,นั่งบุคคลMazdaเบรกกะทันหัน
2022-07-31,17:38:38,ฉลองรัช,ฝนตก,0,0,0,0,สภาพแวดล้อม
2022-07-31,10:34:34,บูรพาวิถี,ปกติ,0,0,0,0,ยางแตก
2022-07-30,23:31:31,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-30,16:05:05,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-30,22:40:40,บางพลี-สุขสวัสดิ์,ปกติ,1,0,0,0,หลับใน
2022-07-29,09:03:03,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-07-28,01:42:42,บางพลี-สุขสวัสดิ์,ปกติ,0,1,0,0,ขับรถกระชั้นชิด
2022-07-27,13:33:33,บูรพาวิถี,ปกติ,0,0,0,0,ยางแตก
2022-07-27,17:11:11,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-07-26,21:39:39,ฉลองรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-26,15:45:45,อุดรรัถยา,ฝนตก,0,1,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-25,18:50:50,เฉลิมมหานคร,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-25,12:46:46,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,1,0,0,ขับรถกระชั้นชิด
2022-07-24,20:34:34,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-24,22:18:18,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-24,19:34:34,ฉลองรัช,ฝนตก,1,4,0,0,ขับรถเร็วเกินไป
2022-07-24,23:15:15,บูรพาวิถี,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2022-07-23,06:07:07,ศรีรัช,ปกติ,0,0,0,0,หลับใน
2022-07-23,01:08:08,อุดรรัถยา,ปกติ,1,0,0,0,หลับใน
2022-07-23,05:30:30,เฉลิมมหานคร,ปกติ,0,0,1,0,ขับรถเร็วเกินไป
2022-07-22,23:05:05,ฉลองรัช,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2022-07-22,22:50:50,บูรพาวิถี,ปกติ,2,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-22,00:36:36,อุดรรัถยา,ปกติ,0,0,0,0,ยางหน้าขวาแตก
2022-07-21,16:03:03,ศรีรัช,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-07-21,03:42:42,ฉลองรัช,ฝนตก,1,1,0,0,ขับรถเร็วเกินไป
2022-07-20,22:04:04,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-20,17:54:54,อุดรรัถยา,ปกติ,0,0,0,0,เบรกกระทันหัน
2022-07-19,16:55:55,ศรีรัช,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-07-19,04:17:17,ฉลองรัช,ปกติ,0,1,0,0,สันนิษฐาน หลับใน
2022-07-19,14:38:38,ฉลองรัช,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-07-19,09:47:47,บูรพาวิถี,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-19,11:55:55,บูรพาวิถี,ปกติ,1,0,0,0,หลับใน
2022-07-18,08:08:08,ศรีรัช,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-07-18,21:49:49,ศรีรัช,ปกติ,1,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-18,21:14:14,ฉลองรัช,ปกติ,1,1,0,0,ขับรถเร็วเกินไป
2022-07-18,11:01:01,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-07-18,08:09:09,ศรีรัช-วงแหวนรอบนอก,ปกติ,1,0,0,0,ยางแตก
2022-07-18,09:13:13,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-07-17,07:49:49,ศรีรัช,ปกติ,0,0,0,0,ละสายตาจากการขับขี่
2022-07-17,22:22:22,ศรีรัช,ปกติ,3,1,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-17,14:37:37,ฉลองรัช,ปกติ,2,1,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-17,19:53:53,บางพลี-สุขสวัสดิ์,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2022-07-16,22:31:31,ศรีรัช,ฝนตก,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-16,00:04:04,เฉลิมมหานคร,ปกติ,0,1,0,0,ละสายตาจากการขับขี่
2022-07-15,00:41:41,ศรีรัช,ฝนตก,0,0,0,0,ละสายตาจากการขับขี่
2022-07-15,11:00:00,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-15,18:37:37,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-15,11:20:20,เฉลิมมหานคร,ปกติ,0,0,0,0,เบรคขัดข้อง
2022-07-14,22:20:20,ฉลองรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2022-07-14,19:09:09,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-07-13,01:39:39,ฉลองรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2022-07-12,20:18:18,เฉลิมมหานคร,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-10,22:06:06,ฉลองรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2022-07-10,13:06:06,เฉลิมมหานคร,ปกติ,0,2,0,0,ขับรถกระชั้นชิด
2022-07-09,00:06:06,ฉลองรัช,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2022-07-09,22:21:21,บางพลี-สุขสวัสดิ์,ฝนตก,0,1,0,0,สภาพแวดล้อม
2022-07-08,23:47:47,S1,ฝนตก,0,0,0,0,สภาพแวดล้อม
2022-07-07,03:36:36,ศรีรัช,ปกติ,0,0,0,0,ถอยหลังชิดขอบทางขวามากเกินไป
2022-07-07,18:05:05,ฉลองรัช,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-07-07,10:34:34,เฉลิมมหานคร,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-06,11:06:06,อุดรรัถยา,ปกติ,0,0,0,0,ยางแตก
2022-07-06,16:32:32,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ระบบไฟฟ้าขัดข้อง
2022-07-05,23:48:48,บูรพาวิถี,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-05,13:07:07,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-07-05,10:27:27,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-07-04,08:39:39,ฉลองรัช,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-07-04,09:46:46,อุดรรัถยา,ปกติ,0,0,0,0,ยางแตก
2022-07-04,03:14:14,เฉลิมมหานคร,ปกติ,0,1,0,0,ขับรถกระชั้นชิด
2022-07-04,16:18:18,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-07-04,10:14:14,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-03,01:50:50,บูรพาวิถี,ปกติ,3,3,0,0,ละสายตาจากการขับขี่
2022-07-03,21:44:44,บูรพาวิถี,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-03,21:45:45,บูรพาวิถี,ปกติ,1,2,0,0,ขับรถเร็วเกินไป
2022-07-03,16:07:07,บางพลี-สุขสวัสดิ์,ปกติ,0,1,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-02,02:39:39,ศรีรัช,ปกติ,1,0,0,0,หลับใน
2022-07-01,00:25:25,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-01,21:04:04,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-01,20:47:47,ฉลองรัช,ปกติ,0,0,0,0,ละสายตาจากการขับขี่
2022-07-01,23:56:56,ฉลองรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-01,09:10:10,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-07-01,22:53:53,เฉลิมมหานคร,ปกติ,0,1,0,0,เปลี่ยนช่องทางกระทันหัน
2022-07-01,14:26:26,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-07-01,17:56:56,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-06-30,02:58:58,บูรพาวิถี,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-29,13:22:22,อุดรรัถยา,ปกติ,0,0,0,0,ถอยหลังจอด
2022-06-29,07:49:49,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-06-29,08:19:19,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-06-29,23:54:54,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-28,10:12:12,บางพลี-สุขสวัสดิ์,ปกติ,1,0,0,0,รถยนต์ขัดข้อง
2022-06-28,12:31:31,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-06-28,23:31:31,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,สภาพแวดล้อม
2022-06-28,19:38:38,ศรีรัช-วงแหวนรอบนอก,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-27,08:33:33,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-27,12:51:51,บางพลี-สุขสวัสดิ์,ปกติ,1,0,0,0,เบรคขัดข้อง
2022-06-26,09:42:42,อุดรรัถยา,ปกติ,0,0,0,0,ผู้ขับขี่หมดสติ
2022-06-26,18:39:39,อุดรรัถยา,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-26,18:57:57,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2022-06-25,04:09:09,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-25,14:18:18,ศรีรัช,ปกติ,0,0,0,0,เพลิงไหม้
2022-06-25,14:52:52,ฉลองรัช,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-06-25,18:39:39,ฉลองรัช,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-06-25,01:35:35,เฉลิมมหานคร,ถนนเปียกลื่น,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-25,01:40:40,เฉลิมมหานคร,ถนนเปียกลื่น,2,0,0,0,ขับรถกระชั้นชิด
2022-06-25,03:50:50,เฉลิมมหานคร,ถนนเปียกลื่น,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-25,03:45:45,บางพลี-สุขสวัสดิ์,ฝนตก,0,0,0,0,ขับรถกระชั้นชิด
2022-06-24,21:40:40,ศรีรัช,ฝนตก,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-24,23:48:48,ศรีรัช,ฝนตก,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-24,15:50:50,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-06-23,02:10:10,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2022-06-23,11:24:24,เฉลิมมหานคร,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-22,04:00:00,บูรพาวิถี,ปกติ,1,1,0,0,ขับรถเร็วเกินไป
2022-06-22,08:00:00,บูรพาวิถี,ปกติ,0,0,0,0,ยางแตก
2022-06-22,07:59:59,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-21,10:03:03,ศรีรัช,ปกติ,0,0,0,0,ละสายตาจากการขับขี่
2022-06-21,21:16:16,เฉลิมมหานคร,ฝนตก,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-21,10:06:06,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-21,00:33:33,ทางหลวงพิเศษหมายเลข 37,ฝนตก,0,0,0,0,ยางแตก
2022-06-20,21:40:40,เฉลิมมหานคร,ฝนตกลมแรง,0,0,0,0,ขับรถกระชั้นชิด
2022-06-20,10:27:27,ทางหลวงพิเศษหมายเลข 37,ปกติ,1,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-19,06:08:08,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-19,16:35:35,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-18,10:19:19,ศรีรัช,ปกติ,0,0,0,0,ฝ่าฝืนสัญญาณ/ป้ายจราจร
2022-06-18,14:50:50,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-18,23:50:50,ศรีรัช,ปกติ,0,0,0,0,ละสายตาจากการขับขี่
2022-06-18,02:57:57,บูรพาวิถี,ปกติ,0,0,0,0,ละสายตาจากการขับขี่
2022-06-18,06:10:10,เฉลิมมหานคร,ปกติ,2,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-18,22:50:50,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-06-18,23:35:35,เฉลิมมหานคร,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-17,16:18:18,ศรีรัช,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-06-17,21:50:50,บางพลี-สุขสวัสดิ์,ปกติ,3,1,0,0,ขับรถกระชั้นชิด
2022-06-17,15:24:24,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-06-16,14:45:45,บูรพาวิถี,ปกติ,0,0,0,0,ยางแตก
2022-06-16,15:30:30,บางพลี-สุขสวัสดิ์,ปกติ,3,0,0,0,ขับรถกระชั้นชิด
2022-06-16,07:28:28,ศรีรัช-วงแหวนรอบนอก,ฝนตก,0,1,0,0,ขับรถกระชั้นชิด
2022-06-16,09:17:17,ทางหลวงพิเศษหมายเลข 37,ฝนตก,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-15,11:55:55,ฉลองรัช,ปกติ,0,0,0,0,เพลิงไหม้
2022-06-15,09:34:34,บูรพาวิถี,ปกติ,0,0,0,0,ระบบไฟฟ้าขัดข้อง
2022-06-15,10:46:46,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-06-14,19:42:42,เฉลิมมหานคร,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-14,07:13:13,บางพลี-สุขสวัสดิ์,ปกติ,1,0,0,0,เบรคกระทันหัน
2022-06-13,08:49:49,ศรีรัช,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-06-13,15:37:37,ศรีรัช,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-06-13,16:30:30,อุดรรัถยา,ฝนตก,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-13,12:49:49,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2022-06-12,23:06:06,ฉลองรัช,ปกติ,2,0,0,0,ขับรถเร็วเกินไป
2022-06-12,06:12:12,เฉลิมมหานคร,ปกติ,1,2,0,0,ขับรถเร็วเกินไป
2022-06-12,01:15:15,บางพลี-สุขสวัสดิ์,ปกติ,0,1,0,0,ขับรถเร็วเกินไป
2022-06-12,07:40:40,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2022-06-11,23:16:16,ศรีรัช,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-06-11,00:25:25,เฉลิมมหานคร,ปกติ,0,0,0,0,ยางแตก
2022-06-11,13:01:01,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-06-11,10:16:16,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ยางแตก
2022-06-10,19:52:52,ศรีรัช,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-06-10,10:37:37,บูรพาวิถี,ปกติ,1,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-10,17:31:31,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-06-10,15:43:43,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-06-09,23:52:52,ศรีรัช,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-06-09,23:25:25,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-06-08,23:35:35,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2022-06-08,06:30:30,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-06-08,20:28:28,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-07,19:38:38,ศรีรัช,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-06-07,03:27:27,ฉลองรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-07,09:16:16,บางพลี-สุขสวัสดิ์,ปกติ,1,0,0,0,ขับรถกระชั้นชิด
2022-06-06,06:37:37,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-06,22:42:42,ศรีรัช,ปกติ,0,0,0,0,ละสายตาจากการขับขี่
2022-06-06,14:19:19,เฉลิมมหานคร,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-06,10:38:38,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2022-06-06,13:15:15,บางพลี-สุขสวัสดิ์,ปกติ,0,1,0,0,ยางแตก
2022-06-06,21:09:09,บางพลี-สุขสวัสดิ์,ฝนตก,1,0,0,0,ขับรถกระชั้นชิด
2022-06-06,12:53:53,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,ยางแตก
2022-06-05,18:24:24,ศรีรัช,ปกติ,0,0,0,0,ยางแตก
2022-06-05,22:34:34,ศรีรัช,ฝนตก,0,0,0,0,สภาพแวดล้อม
2022-06-05,18:08:08,บูรพาวิถี,ปกติ,0,0,0,0,ยางแตก
2022-06-05,21:45:45,บูรพาวิถี,ปกติ,0,3,0,0,ขับรถเร็วเกินไป
2022-06-05,12:13:13,อุดรรัถยา,ปกติ,1,1,0,0,ขับรถเร็วเกินไป
2022-06-05,15:13:13,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-06-05,01:17:17,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ละสายตา
2022-06-04,17:08:08,ศรีรัช,ปกติ,0,0,0,0,ละสายตาจากการขับขี่
2022-06-04,22:13:13,เฉลิมมหานคร,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-04,02:33:33,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ล้อหลุด
2022-06-04,17:51:51,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-03,13:50:50,บูรพาวิถี,ปกติ,0,2,0,0,ขับรถเร็วเกินไป
2022-06-03,07:36:36,เฉลิมมหานคร,ปกติ,2,1,0,0,ขับรถกระชั้นชิด
2022-06-02,13:30:30,S1,ปกติ,1,1,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-02,06:28:28,ศรีรัช,ปกติ,0,0,0,0,หลับใน
2022-06-02,23:05:05,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-02,08:45:45,บูรพาวิถี,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-02,17:02:02,บูรพาวิถี,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-02,10:50:50,เฉลิมมหานคร,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-01,21:43:43,ศรีรัช,ปกติ,1,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-06-01,16:15:15,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถกระชั้นชิด
2022-05-31,05:15:15,ศรีรัช,ปกติ,0,0,0,0,ละสายตาจากการขับขี่
2022-05-31,06:44:44,ศรีรัช,ปกติ,0,0,0,0,ล้อหลุด
2022-05-31,20:33:33,ศรีรัช,ปกติ,0,1,0,0,ขับรถกระชั้นชิด
2022-05-31,22:34:34,บางพลี-สุขสวัสดิ์,ฝนตก,2,0,0,0,ขับรถเร็วเกินไป
2022-05-31,09:49:49,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,ยางแตก
2022-05-30,10:55:55,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2022-05-30,17:46:46,บูรพาวิถี,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-05-30,12:12:12,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2022-05-29,22:55:55,ฉลองรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2022-05-29,06:50:50,บูรพาวิถี,ปกติ,0,0,0,0,ยางแตก
2022-05-29,09:59:59,บูรพาวิถี,ปกติ,0,0,0,0,บรรทุกหนักเกินไป
2022-05-29,16:45:45,เฉลิมมหานคร,ปกติ,0,2,0,0,ขับรถกระชั้นชิด
2022-05-28,00:23:23,ศรีรัช,ปกติ,2,1,0,0,เปลี่ยนช่องทางกระทันหัน
2022-05-28,20:01:01,ศรีรัช,ปกติ,0,0,0,0,เบรกกะทันหัน
2022-05-28,22:47:47,บูรพาวิถี,ปกติ,0,1,0,0,เปลี่ยนช่องทางกระทันหัน
2022-05-28,10:48:48,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2022-05-28,05:31:31,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
